Using device: cuda
Test set ID (derived from DATASET_ROOT): NoordelikeWerke
Classes found (4): ['Dysfunctional', 'Empty', 'Functional', 'Scum']
Train: 1692 | Val: 410 | Test: 405
[09:36:18] Dataset root: ../cnn_dataset_split_facility_test-NoordelikeWerke  Component: clarifier
[09:36:18] Architectures to tune (6): ['resnet18', 'efficientnet_b0', 'densenet121', 'resnet50', 'convnext_tiny', 'inception_v3']
[09:36:18] Trials per architecture: 20
[09:36:18] === Starting tuning for resnet18: 20 trials, img_size=(224, 224) ===
[I 2026-09-22 09:36:18,730] A new study created in memory with name: resnet18_tune
[09:36:18] [resnet18] trial 0: H=1 N=512 lr=2.92e-03 beta1=0.800 step_size=30 batch_size=16 (micro_batch=16, accum_steps=1)
Using device: cuda
Test set ID (derived from DATASET_ROOT): NoordelikeWerke
Classes found (4): ['Dysfunctional', 'Empty', 'Functional', 'Scum']
Train: 1692 | Val: 410 | Test: 405
[resnet18 trial0] Epoch  72/100 | LR: 2.92e-05 | train loss 0.5334 acc 0.762 | val loss 0.5558 acc 0.773
[resnet18 trial0] Epoch  73/100 | LR: 2.92e-05 | train loss 0.4941 acc 0.772 | val loss 0.5414 acc 0.785
[resnet18 trial0] Epoch  74/100 | LR: 2.92e-05 | train loss 0.5336 acc 0.770 | val loss 0.5378 acc 0.780
[resnet18 trial0] Epoch  75/100 | LR: 2.92e-05 | train loss 0.5040 acc 0.760 | val loss 0.5369 acc 0.780
[resnet18 trial0] Epoch  76/100 | LR: 2.92e-05 | train loss 0.4790 acc 0.775 | val loss 0.5374 acc 0.783
[resnet18 trial0] Epoch  77/100 | LR: 2.92e-05 | train loss 0.4778 acc 0.785 | val loss 0.5433 acc 0.783

[resnet18 trial0] No val loss improvement for 10 epochs — stopping early at epoch 77.

[resnet18 trial0] Restored best checkpoint (val loss = 0.5283)
[09:42:51] [resnet18] trial 0 finished: best val_acc=0.7951 (at val_loss=0.5283)
[I 2026-09-22 09:42:51,523] Trial 0 finished with value: 0.7951219512195122 and parameters: {'hidden_layers': 1, 'neurons': 512, 'lr': 0.0029154431891537554, 'beta1': 0.7999563908598613, 'step_size': 30, 'batch_size': 16}. Best is trial 0 with value: 0.7951219512195122.
[09:42:51] [resnet18] trial 1: H=2 N=2048 lr=1.38e-03 beta1=0.600 step_size=23 batch_size=96 (micro_batch=16, accum_steps=6)
[resnet18 trial1] Using gradient accumulation: 6 micro-batches per optimizer step (effective batch size ≈ micro_batch x 6).
[resnet18 trial1] Epoch   1/100 | LR: 1.38e-03 | train loss 1.4563 acc 0.427 | val loss 1.7455 acc 0.232 *
[resnet18 trial1] Epoch   2/100 | LR: 1.38e-03 | train loss 1.0329 acc 0.562 | val loss 1.1277 acc 0.417 *
[resnet18 trial1] Epoch   3/100 | LR: 1.38e-03 | train loss 0.9112 acc 0.596 | val loss 1.4516 acc 0.505
[resnet18 trial1] Epoch   4/100 | LR: 1.38e-03 | train loss 0.8281 acc 0.650 | val loss 0.9632 acc 0.566 *
[resnet18 trial1] Epoch   5/100 | LR: 1.38e-03 | train loss 0.7498 acc 0.667 | val loss 0.5748 acc 0.759 *
[resnet18 trial1] Epoch   6/100 | LR: 1.38e-03 | train loss 0.7549 acc 0.669 | val loss 0.6590 acc 0.717
[resnet18 trial1] Epoch   7/100 | LR: 1.38e-03 | train loss 0.6726 acc 0.735 | val loss 0.6199 acc 0.746
[resnet18 trial1] Epoch   8/100 | LR: 1.38e-03 | train loss 0.6906 acc 0.708 | val loss 0.5468 acc 0.763 *
[resnet18 trial1] Epoch   9/100 | LR: 1.38e-03 | train loss 0.5833 acc 0.751 | val loss 0.7015 acc 0.680
[resnet18 trial1] Epoch  10/100 | LR: 1.38e-03 | train loss 0.6379 acc 0.737 | val loss 0.6426 acc 0.720
[resnet18 trial1] Epoch  11/100 | LR: 1.38e-03 | train loss 0.6032 acc 0.744 | val loss 0.6646 acc 0.746
[resnet18 trial1] Epoch  12/100 | LR: 1.38e-03 | train loss 0.5910 acc 0.751 | val loss 0.5717 acc 0.741
[resnet18 trial1] Epoch  13/100 | LR: 1.38e-03 | train loss 0.6085 acc 0.733 | val loss 0.5364 acc 0.790 *
[resnet18 trial1] Epoch  14/100 | LR: 1.38e-03 | train loss 0.5737 acc 0.757 | val loss 0.6194 acc 0.761
[resnet18 trial1] Epoch  15/100 | LR: 1.38e-03 | train loss 0.5551 acc 0.739 | val loss 1.0058 acc 0.617
[resnet18 trial1] Epoch  16/100 | LR: 1.38e-03 | train loss 0.5323 acc 0.777 | val loss 0.6679 acc 0.749
[resnet18 trial1] Epoch  17/100 | LR: 1.38e-03 | train loss 0.5090 acc 0.790 | val loss 0.5439 acc 0.785
[resnet18 trial1] Epoch  18/100 | LR: 1.38e-03 | train loss 0.5022 acc 0.793 | val loss 0.5566 acc 0.754
[resnet18 trial1] Epoch  19/100 | LR: 1.38e-03 | train loss 0.4690 acc 0.802 | val loss 0.5517 acc 0.739
[resnet18 trial1] Epoch  20/100 | LR: 1.38e-03 | train loss 0.4705 acc 0.814 | val loss 0.5536 acc 0.800
[resnet18 trial1] Epoch  21/100 | LR: 1.38e-03 | train loss 0.4469 acc 0.814 | val loss 0.4829 acc 0.820 *
[resnet18 trial1] Epoch  22/100 | LR: 1.38e-03 | train loss 0.4484 acc 0.802 | val loss 0.4574 acc 0.832 *
[resnet18 trial1] Epoch  23/100 | LR: 1.38e-04 | train loss 0.4978 acc 0.800 | val loss 0.5458 acc 0.790
[resnet18 trial1] Epoch  24/100 | LR: 1.38e-04 | train loss 0.3698 acc 0.837 | val loss 0.3797 acc 0.854 *
[resnet18 trial1] Epoch  25/100 | LR: 1.38e-04 | train loss 0.2975 acc 0.863 | val loss 0.3764 acc 0.861 *
[resnet18 trial1] Epoch  26/100 | LR: 1.38e-04 | train loss 0.2717 acc 0.871 | val loss 0.3907 acc 0.861
[resnet18 trial1] Epoch  27/100 | LR: 1.38e-04 | train loss 0.2618 acc 0.882 | val loss 0.3908 acc 0.859
[resnet18 trial1] Epoch  28/100 | LR: 1.38e-04 | train loss 0.2237 acc 0.895 | val loss 0.4030 acc 0.861
[resnet18 trial1] Epoch  29/100 | LR: 1.38e-04 | train loss 0.2250 acc 0.889 | val loss 0.3847 acc 0.873
[resnet18 trial1] Epoch  30/100 | LR: 1.38e-04 | train loss 0.2422 acc 0.881 | val loss 0.4242 acc 0.846
[resnet18 trial1] Epoch  31/100 | LR: 1.38e-04 | train loss 0.2190 acc 0.893 | val loss 0.3912 acc 0.854
[resnet18 trial1] Epoch  32/100 | LR: 1.38e-04 | train loss 0.2077 acc 0.892 | val loss 0.3730 acc 0.866 *
[resnet18 trial1] Epoch  33/100 | LR: 1.38e-04 | train loss 0.2139 acc 0.895 | val loss 0.3694 acc 0.871 *
[resnet18 trial1] Epoch  34/100 | LR: 1.38e-04 | train loss 0.1932 acc 0.905 | val loss 0.3851 acc 0.856
[resnet18 trial1] Epoch  35/100 | LR: 1.38e-04 | train loss 0.1675 acc 0.915 | val loss 0.3670 acc 0.859 *
[resnet18 trial1] Epoch  36/100 | LR: 1.38e-04 | train loss 0.1896 acc 0.909 | val loss 0.4149 acc 0.856
[resnet18 trial1] Epoch  37/100 | LR: 1.38e-04 | train loss 0.1787 acc 0.913 | val loss 0.3856 acc 0.856
[resnet18 trial1] Epoch  38/100 | LR: 1.38e-04 | train loss 0.1693 acc 0.913 | val loss 0.4271 acc 0.854
[resnet18 trial1] Epoch  39/100 | LR: 1.38e-04 | train loss 0.1561 acc 0.919 | val loss 0.3809 acc 0.866
[resnet18 trial1] Epoch  40/100 | LR: 1.38e-04 | train loss 0.1483 acc 0.920 | val loss 0.3777 acc 0.866
[resnet18 trial1] Epoch  41/100 | LR: 1.38e-04 | train loss 0.1458 acc 0.929 | val loss 0.4121 acc 0.849
[resnet18 trial1] Epoch  42/100 | LR: 1.38e-04 | train loss 0.1465 acc 0.920 | val loss 0.3881 acc 0.851
[resnet18 trial1] Epoch  43/100 | LR: 1.38e-04 | train loss 0.1246 acc 0.934 | val loss 0.4075 acc 0.868
[resnet18 trial1] Epoch  44/100 | LR: 1.38e-04 | train loss 0.1207 acc 0.940 | val loss 0.4317 acc 0.863
